date,year,month,day,weekday,season,is_weekend,holiday,isMyBirthday
1971-04-07,1971,April,7,Wednesday,Spring,False,,False
1971-04-08,1971,April,8,Thursday,Spring,False,,False
1971-04-09,1971,April,9,Friday,Spring,False,Goede Vrijdag,False
1971-04-10,1971,April,10,Saturday,Spring,True,,False
1971-04-11,1971,April,11,Sunday,Spring,True,Eerste Paasdag,False
1971-04-12,1971,April,12,Monday,Spring,False,Tweede Paasdag,False
1971-04-13,1971,April,13,Tuesday,Spring,False,,False
1971-04-14,1971,April,14,Wednesday,Spring,False,,False
1971-04-15,1971,April,15,Thursday,Spring,False,,False
1971-04-16,1971,April,16,Friday,Spring,False,,False
1971-04-17,1971,April,17,Saturday,Spring,True,,False
1971-04-18,1971,April,18,Sunday,Spring,True,,False
1971-04-19,1971,April,19,Monday,Spring,False,,False
1971-04-20,1971,April,20,Tuesday,Spring,False,,False
1971-04-21,1971,April,21,Wednesday,Spring,False,,False
1971-04-22,1971,April,22,Thursday,Spring,False,,False
1971-04-23,1971,April,23,Friday,Spring,False,,False
1971-04-24,1971,April,24,Saturday,Spring,True,,False
1971-04-25,1971,April,25,Sunday,Spring,True,,False
1971-04-26,1971,April,26,Monday,Spring,False,,False
1971-04-27,1971,April,27,Tuesday,Spring,False,,False
1971-04-28,1971,April,28,Wednesday,Spring,False,,False
1971-04-29,1971,April,29,Thursday,Spring,False,,False
1971-04-30,1971,April,30,Friday,Spring,False,Koninginnedag,False
1971-05-01,1971,May,1,Saturday,Spring,True,,False
1971-05-02,1971,May,2,Sunday,Spring,True,,False
